theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
반도체 재료/부품,LARGE_DECREASE,0.8197625159880616,38.33287525927115,-37.51311274328309,-97.86146353373326,68,"3S, HLB, HLB이노베이션, ISC, KEC, KPX케미칼, KX, KX하이텍, OCI, 나노"
여름,"LARGE_DECREASE, DISCONNECTION",0.0,13.861797917594592,-13.861797917594592,-100.0,30,"3S, DI동일, LG, LG생활건강, 남해화학, 동우팜투테이블, 롯데웰푸드, 롯데칠성, 롯데하이마트, 마니커"
밸류업(24년 기업가치 제고계획 발표),LARGE_DECREASE,4.866208517311479,48.28533377526747,-43.41912525795599,-89.92197394769997,100,"AK홀딩스, BNK금융지주, DB, DB증권, DB하이텍, HD한국조선해양, HD현대, HD현대건설기계, HD현대마린솔루션, HD현대미포"
지주사,LARGE_DECREASE,2.2953408589509725,86.266260336608,-83.97091947765702,-97.33923685807795,155,"AK홀딩스, APS, BGF, BNK금융지주, CJ, CR홀딩스, CS, CS홀딩스, DB, DL"
항공/저가 항공사(LCC),LARGE_DECREASE,1.673072766137319,-3.8778491281163843e-16,1.6730727661373195,-4.3144349118863046e+17,10,"AK홀딩스, 대한항공, 아시아나항공, 에어부산, 제주항공, 진에어, 티웨이항공, 티웨이홀딩스, 한진, 한진칼"
페인트,LARGE_DECREASE,0.9596995364282622,2.5349372816036624,-1.5752377451754,-62.14109345454365,8,"AK홀딩스, KCC, 강남제비스코, 노루페인트, 노루홀딩스, 벽산, 삼화페인트, 조광페인트"
OLED(유기 발광 다이오드),LARGE_DECREASE,0.9808831117331956,39.67878968630866,-38.69790657457546,-97.52794094908683,88,"APS, AP시스템, HB솔루션, HB테크놀러지, LG, LG디스플레이, LG전자, LG화학, LX세미콘, PI첨단소재"
맥신(MXene),LARGE_DECREASE,0.35085609912002697,5.829913513373968,-5.4790574142539405,-93.98179581369168,11,"APS, 경동인베스트, 나노, 나인테크, 센코, 아모센스, 아이크래프트, 태경산업, 티플랙스, 한국앤컴퍼니"
반도체 장비,LARGE_DECREASE,0.37341081524772185,52.05357771735479,-51.68016690210707,-99.2826414021428,97,"AP시스템, GS, GST, HPSP, SFA반도체, 고영, 그린리소스, 기가레인, 기가비스, 네오셈"
플렉서블 디스플레이,"LARGE_DECREASE, DISCONNECTION",0.0,12.037780582767912,-12.037780582767912,-100.0,27,"AP시스템, HB솔루션, LG, LG디스플레이, PI첨단소재, SK, SKC, 경인양행, 덕산네오룩스, 디이엔티"
통신장비,LARGE_DECREASE,1.2933837959691823,23.903314721193016,-22.609930925223836,-94.5891027622941,48,"AP위성, CS, LS, LS마린솔루션, RFHIC, RF머트리얼즈, 기가레인, 기산텔레콤, 다보링크, 다산네트웍스"
우주항공산업(누리호/인공위성 등),LARGE_DECREASE,1.7657373970989156,15.95162780695567,-14.185890409856755,-88.93067580019031,30,"AP위성, LIG넥스원, LK삼양, 대한항공, 덕산하이메탈, 루미르, 브이엠, 비츠로테크, 상아프론테크, 서남"
밸류업(25년 기업가치 제고계획 발표),LARGE_DECREASE,4.500830716231603,47.21690439888692,-42.71607368265531,-90.46775561945203,79,"BGF, BGF리테일, DB, DB손해보험, DB하이텍, DI동일, F&F, GS, HMM, HS애드"
코리아 밸류업 지수(Korea Value-up Index),LARGE_DECREASE,3.720186150377961,65.5944806898266,-61.874294539448634,-94.32850735114525,118,"BGF, BGF리테일, DB, DB손해보험, DB하이텍, F&F, HD현대, HD현대인프라코어, HD현대일렉트릭, HMM"
소매유통,LARGE_DECREASE,0.7670256389262992,12.577666247354315,-11.810640608428017,-93.9016855445052,24,"BGF, BGF리테일, CJ, CJ ENM, GS, GS리테일, 광주신세계, 그래디언트, 대구백화점, 디오"
편의점,LARGE_DECREASE,0.9999999999999987,5.000000000000001,-4.000000000000002,-80.00000000000003,7,"BGF, BGF리테일, GS, GS리테일, 롯데지주, 유성티엔에스, 이마트"
