ticker,strategy,score,stage,themes,priority
아이컴포넌트,Early Breakout (Transition),85,Early Breakout,[],HIGH
플레이그램,Early Breakout (Transition),85,Early Breakout,[],HIGH
파두,Early Breakout (Transition),85,Early Breakout,[],HIGH
나노,Early Breakout (Transition),82,Early Breakout,[],HIGH
하나금융지주,Super Trend (Bull Quiet),80,Super Trend,[],HIGH
SK텔레콤,Super Trend (Bull Quiet),80,Super Trend,[],HIGH
인바디,Early Breakout (Transition),79,Early Breakout,[],HIGH
아주IB투자,Super Trend (Bull Quiet),79,Super Trend,[],HIGH
영원무역,Early Breakout (Transition),78,Early Breakout,[],HIGH
이화산업,Early Breakout (Transition),78,Early Breakout,[],HIGH
신한지주,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
세이브존I&C,Early Breakout (Transition),77,Early Breakout,[],HIGH
동운아나텍,Early Breakout (Transition),76,Early Breakout,[],HIGH
현대해상,Early Breakout (Transition),76,Early Breakout,[],HIGH
DN오토모티브,Early Breakout (Transition),76,Early Breakout,[],HIGH
KT,Super Trend (Bull Quiet),75,Super Trend,[],HIGH
한국금융지주,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
비츠로시스,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
JB금융지주,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
KB금융,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
SK,Super Trend (Bull Quiet),72,Super Trend,[],HIGH
현대ADM,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
BYC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한국타이어앤테크놀로지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
롯데에너지머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
오픈엣지테크놀로지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이플러스에셋,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하이비젼시스템,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한스바이오메드,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이로보틱스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이에스동서,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
영우디에스피,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
와토스코리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
웰킵스하이텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
인텔리안테크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
지엠비코리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
