ticker,strategy,score,stage,themes,priority
에코프로에이치엔,Early Breakout (Transition),85,Early Breakout,[],HIGH
솔브레인홀딩스,Early Breakout (Transition),85,Early Breakout,[],HIGH
롯데케미칼,Early Breakout (Transition),82,Early Breakout,[],HIGH
이지바이오,Early Breakout (Transition),82,Early Breakout,[],HIGH
신흥에스이씨,Early Breakout (Transition),79,Early Breakout,"['전기차 화재 방지(배터리 열폭주 등)', '2차전지', '2차전지(소재/부품)', '전기차']",HIGH
공구우먼,Early Breakout (Transition),79,Early Breakout,['패션/의류'],HIGH
현우산업,Early Breakout (Transition),79,Early Breakout,['PCB(FPCB 등)'],HIGH
미래에셋벤처투자,Super Trend (Bull Quiet),78,Super Trend,[],HIGH
스피어,Super Trend (Bull Quiet),78,Super Trend,[],HIGH
코메론,Early Breakout (Transition),78,Early Breakout,['철강 중소형'],HIGH
미래에셋증권,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
나노팀,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
영풍,Early Breakout (Transition),76,Early Breakout,"['비철금속', '아이폰']",HIGH
유니온바이오메트릭스,Early Breakout (Transition),75,Early Breakout,[],HIGH
쏠리드,Early Breakout (Transition),75,Early Breakout,[],HIGH
AP위성,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
레이크머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
알에스오토메이션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이디테크놀로지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이티센글로벌,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이치이엠파마,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이비엘바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이프릴바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
케이아이엔엑스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하나머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
셀트리온제약,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에스제이그룹,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에스에프에이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에코프로비엠,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
와이투솔루션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
육일씨엔에쓰,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
인텔리안테크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
지놈앤컴퍼니,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
코오롱티슈진,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하나마이크론,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
다우데이타,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
두산테스나,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼성전자우,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
샘씨엔에스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼표시멘트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
시지메드텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
쎄트렉아이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
씨아이에스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
오킨스전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
유니테크노,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
제주반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
차바이오텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
피에스케이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한양이엔지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
가온그룹,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
가온칩스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
대주산업,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
