ticker,strategy,score,stage,themes,priority
파두,Early Breakout (Transition),85,Early Breakout,[],HIGH
JB금융지주,Early Breakout (Transition),84,Early Breakout,[],HIGH
SGC에너지,Early Breakout (Transition),83,Early Breakout,[],HIGH
아주IB투자,Super Trend (Bull Quiet),79,Super Trend,[],HIGH
미래에셋벤처투자,Super Trend (Bull Quiet),78,Super Trend,[],HIGH
나노,Early Breakout (Transition),78,Early Breakout,[],HIGH
삼영,Early Breakout (Transition),76,Early Breakout,[],HIGH
한국알콜,Early Breakout (Transition),75,Early Breakout,[],HIGH
하나금융지주,Super Trend (Bull Quiet),74,Super Trend,[],HIGH
신한지주,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
iM금융지주,Super Trend (Bull Quiet),72,Super Trend,[],HIGH
롯데에너지머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이플러스에셋,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
바이오스마트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이로보틱스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이에스동서,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
와토스코리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
육일씨엔에쓰,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
제이에스링크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
코데즈컴바인,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
까뮤이앤씨,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
누리플렉스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼양엔씨켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼표시멘트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
선익시스템,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
신성이엔지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
원바이오젠,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
제주반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
기가비스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
대우건설,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
디바이스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
성호전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이엘티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
엘케이켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
자화전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
