ticker,strategy,score,stage,themes,priority
파두,Early Breakout (Transition),85,Early Breakout,[],HIGH
SGC에너지,Early Breakout (Transition),85,Early Breakout,[],HIGH
나노,Early Breakout (Transition),84,Early Breakout,[],HIGH
유니테스트,Early Breakout (Transition),81,Early Breakout,[],HIGH
SK텔레콤,Super Trend (Bull Quiet),80,Super Trend,[],HIGH
아주IB투자,Super Trend (Bull Quiet),79,Super Trend,[],HIGH
한국알콜,Early Breakout (Transition),78,Early Breakout,[],HIGH
하나금융지주,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
인바디,Early Breakout (Transition),77,Early Breakout,[],HIGH
광주신세계,Early Breakout (Transition),75,Early Breakout,[],HIGH
삼영,Early Breakout (Transition),75,Early Breakout,[],HIGH
비츠로시스,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
신한지주,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
JB금융지주,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
KT,Super Trend (Bull Quiet),73,Super Trend,[],HIGH
대한전선,Super Trend (Bull Quiet),72,Super Trend,[],HIGH
SK,Super Trend (Bull Quiet),72,Super Trend,[],HIGH
KB금융,Super Trend (Bull Quiet),71,Super Trend,[],HIGH
롯데에너지머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
알에스오토메이션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에코프로에이치엔,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이디테크놀로지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
마이크로투나노,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
미래에셋증권우,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
씨앤지하이테크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이플러스에셋,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하이비젼시스템,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한스바이오메드,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이로보틱스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이에스동서,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에스앤에스텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이치엠넥스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
영우디에스피,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
와토스코리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
웰킵스하이텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
인텔리안테크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
지엠비코리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
코데즈컴바인,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
코오롱티슈진,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
나래나노텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
금호타이어,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
넥센타이어,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
다우데이타,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
누리플렉스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼양엔씨켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼표시멘트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼화페인트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
선익시스템,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
신성이엔지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
쎄트렉아이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에스티아이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
제주반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
피에스케이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한화솔루션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
기가비스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
나무기술,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
대우건설,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
디아이티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
성호전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이엠티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
엘케이켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
유진로봇,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
자화전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
조이시티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
키움증권,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
풍원정밀,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한신공영,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한전산업,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한전기술,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
디아이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
루미르,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
베뉴지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
비나텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
빅솔론,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아스타,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
액트로,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
엘티씨,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
큐라클,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하이딥,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
피엔티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
두올,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
알멕,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
야스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
알톤,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
율촌,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
웹스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
테스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
HD현대에너지솔루션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
HDC현대EP,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
HLB이노베이션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
원익IPS,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
LS ELECTRIC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
OCI,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
OCI홀딩스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
원익QnC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
RFHIC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
SFA반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
SG,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
SG세계물산,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
SK스퀘어,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
서부T&D,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
