theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
반도체 재료/부품,LARGE_DECREASE,1.982402713778142,38.33287525927115,-36.350472545493005,-94.82845286097165,68,"3S, HLB, HLB이노베이션, ISC, KEC, KPX케미칼, KX, KX하이텍, OCI, 나노"
냉각시스템(액침냉각 등),LARGE_DECREASE,3.9806564033719316,5.840874730448848,-1.8602183270769168,-31.84828322681672,13,"3S, GS, GST, LG, LG전자, SK, SK이노베이션, 워트, 유니셈, 케이엔솔"
여름,LARGE_DECREASE,0.9856893287053106,13.861797917594592,-12.87610858888928,-92.88916679809486,29,"3S, DI동일, LG, LG생활건강, 남해화학, 동우팜투테이블, 롯데웰푸드, 롯데칠성, 롯데하이마트, 마니커"
밸류업(24년 기업가치 제고계획 발표),LARGE_DECREASE,3.7653478878914353,48.28533377526747,-44.51998588737603,-92.20188079176101,97,"AK홀딩스, BNK금융지주, DB, DB증권, DB하이텍, HD한국조선해양, HD현대, HD현대건설기계, HD현대마린솔루션, HD현대미포"
지주사,LARGE_DECREASE,3.949710823504652,86.266260336608,-82.31654951310335,-95.4214882990256,150,"AK홀딩스, APS, BGF, BNK금융지주, CJ, CR홀딩스, CS, CS홀딩스, DB, DL"
항공/저가 항공사(LCC),"LARGE_DECREASE, NEW_CONNECTION",3.0109890390716574,-3.8778491281163843e-16,3.010989039071658,-7.764585314164111e+17,10,"AK홀딩스, 대한항공, 아시아나항공, 에어부산, 제주항공, 진에어, 티웨이항공, 티웨이홀딩스, 한진, 한진칼"
페인트,LARGE_DECREASE,0.9593377366121725,2.5349372816036624,-1.57559954499149,-62.15536598975449,8,"AK홀딩스, KCC, 강남제비스코, 노루페인트, 노루홀딩스, 벽산, 삼화페인트, 조광페인트"
OLED(유기 발광 다이오드),"LARGE_DECREASE, DISCONNECTION",0.0,39.67878968630866,-39.67878968630866,-100.0,85,"APS, AP시스템, HB솔루션, HB테크놀러지, LG, LG디스플레이, LG전자, LG화학, LX세미콘, PI첨단소재"
맥신(MXene),LARGE_DECREASE,0.9534763765005198,5.829913513373968,-4.876437136873448,-83.64510255060867,11,"APS, 경동인베스트, 나노, 나인테크, 센코, 아모센스, 아이크래프트, 태경산업, 티플랙스, 한국앤컴퍼니"
반도체 장비,LARGE_DECREASE,1.318937779179127,52.05357771735479,-50.73463993817566,-97.46619187956529,96,"AP시스템, GS, GST, HPSP, SFA반도체, 고영, 그린리소스, 기가레인, 기가비스, 네오셈"
플렉서블 디스플레이,"LARGE_DECREASE, DISCONNECTION",0.0,12.037780582767912,-12.037780582767912,-100.0,27,"AP시스템, HB솔루션, LG, LG디스플레이, PI첨단소재, SK, SKC, 경인양행, 덕산네오룩스, 디이엔티"
통신장비,LARGE_DECREASE,1.1532850163006991,23.903314721193016,-22.750029704892317,-95.17520883713178,47,"AP위성, CS, LS, LS마린솔루션, RFHIC, RF머트리얼즈, 기가레인, 기산텔레콤, 다보링크, 다산네트웍스"
우주항공산업(누리호/인공위성 등),LARGE_DECREASE,6.463070346479923,15.95162780695567,-9.488557460475747,-59.483317786152725,29,"AP위성, LIG넥스원, LK삼양, 대한항공, 덕산하이메탈, 루미르, 브이엠, 비츠로테크, 상아프론테크, 서남"
밸류업(25년 기업가치 제고계획 발표),LARGE_DECREASE,1.9628699776084724,47.21690439888692,-45.25403442127845,-95.8428660188601,78,"BGF, BGF리테일, DB, DB손해보험, DB하이텍, DI동일, F&F, GS, HMM, HS애드"
코리아 밸류업 지수(Korea Value-up Index),LARGE_DECREASE,0.9550335666767862,65.5944806898266,-64.63944712314981,-98.54403364942729,116,"BGF, BGF리테일, DB, DB손해보험, DB하이텍, F&F, HD현대, HD현대인프라코어, HD현대일렉트릭, HMM"
소매유통,"LARGE_DECREASE, DISCONNECTION",0.0,12.577666247354315,-12.577666247354315,-100.0,24,"BGF, BGF리테일, CJ, CJ ENM, GS, GS리테일, 광주신세계, 그래디언트, 대구백화점, 디오"
편의점,LARGE_DECREASE,1.0000000000000004,5.000000000000001,-4.0,-79.99999999999999,7,"BGF, BGF리테일, GS, GS리테일, 롯데지주, 유성티엔에스, 이마트"
자동차부품,LARGE_DECREASE,3.0008683426649956,81.02534986386055,-78.02448152119555,-96.29638335692832,155,"BGF, BGF에코머티리얼즈, DH오토리드, DH오토웨어, DN오토모티브, DYP, GH신소재, HDC, HDC현대EP, HL만도"
은행,LARGE_DECREASE,1.9757958562737843,6.999999999999999,-5.024204143726215,-71.77434491037451,10,"BNK금융지주, JB금융지주, KB금융, iM금융지주, 기업은행, 신한지주, 우리금융지주, 제주은행, 카카오, 카카오뱅크"
日제품 불매운동(수혜),"LARGE_DECREASE, DISCONNECTION",0.0,9.633682572635966,-9.633682572635966,-100.0,20,"BYC, TBH글로벌, 그리티, 깨끗한나라, 리드코프, 메디앙스, 모나리자, 모나미, 배럴, 보라티알"
패션/의류,LARGE_DECREASE,0.9652058190840445,27.765942302616025,-26.80073648353198,-96.52377791265127,59,"BYC, F&F, LF, LS, LS네트웍스, SG, SG세계물산, TBH글로벌, TP, 감성코퍼레이션"
슈퍼박테리아,"LARGE_DECREASE, DISCONNECTION",0.0,6.000000000000001,-6.000000000000001,-100.0,10,"CG인바이츠, 동아에스티, 리가켐바이오, 씨젠, 이연제약, 인트론바이오, 종근당, 종근당바이오, 크레오에스지, 파루"
유전자 치료제/분석,"LARGE_DECREASE, DISCONNECTION",0.0,20.34889383655047,-20.34889383655047,-100.0,41,"CG인바이츠, CJ, CJ 바이오사이언스, HLB, HLB제넥스, HLB파나진, 고바이오랩, 녹십자, 랩지노믹스, 마크로젠"
면역항암제,LARGE_DECREASE,0.8155818599462651,17.20671159613213,-16.391129736185867,-95.26009455444353,33,"CG인바이츠, HLB, 네오이뮨텍, 더코디, 동아에스티, 메드팩토, 바이젠셀, 박셀바이오, 셀리드, 신라젠"
