theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
반도체 재료/부품,LARGE_DECREASE,1.8055184964771895,38.33287525927115,-36.52735676279396,-95.28989546371032,68,"3S, HLB, HLB이노베이션, ISC, KEC, KPX케미칼, KX, KX하이텍, OCI, 나노"
냉각시스템(액침냉각 등),LARGE_DECREASE,0.9395916244954803,5.840874730448848,-4.901283105953368,-83.91351179648949,13,"3S, GS, GST, LG, LG전자, SK, SK이노베이션, 워트, 유니셈, 케이엔솔"
여름,LARGE_DECREASE,0.9485712956060219,13.861797917594592,-12.913226621988569,-93.15693893934196,29,"3S, DI동일, LG, LG생활건강, 남해화학, 동우팜투테이블, 롯데웰푸드, 롯데칠성, 롯데하이마트, 마니커"
밸류업(24년 기업가치 제고계획 발표),LARGE_DECREASE,2.9016829678040064,48.28533377526747,-45.38365080746346,-93.99055004712363,97,"AK홀딩스, BNK금융지주, DB, DB증권, DB하이텍, HD한국조선해양, HD현대, HD현대건설기계, HD현대마린솔루션, HD현대미포"
지주사,LARGE_DECREASE,1.9774084308431221,86.266260336608,-84.28885190576487,-97.70778468531341,150,"AK홀딩스, APS, BGF, BNK금융지주, CJ, CR홀딩스, CS, CS홀딩스, DB, DL"
항공/저가 항공사(LCC),"LARGE_DECREASE, NEW_CONNECTION",3.948625758268965,-3.8778491281163843e-16,3.9486257582689652,-1.0182515172236626e+18,10,"AK홀딩스, 대한항공, 아시아나항공, 에어부산, 제주항공, 진에어, 티웨이항공, 티웨이홀딩스, 한진, 한진칼"
OLED(유기 발광 다이오드),LARGE_DECREASE,0.5815324515067938,39.67878968630866,-39.097257234801866,-98.53439972311591,85,"APS, AP시스템, HB솔루션, HB테크놀러지, LG, LG디스플레이, LG전자, LG화학, LX세미콘, PI첨단소재"
맥신(MXene),"LARGE_DECREASE, DISCONNECTION",0.0,5.829913513373968,-5.829913513373968,-100.0,11,"APS, 경동인베스트, 나노, 나인테크, 센코, 아모센스, 아이크래프트, 태경산업, 티플랙스, 한국앤컴퍼니"
반도체 장비,LARGE_DECREASE,2.941118971567151,52.05357771735479,-49.11245874578764,-94.34982358458221,96,"AP시스템, GS, GST, HPSP, SFA반도체, 고영, 그린리소스, 기가레인, 기가비스, 네오셈"
플렉서블 디스플레이,"LARGE_DECREASE, DISCONNECTION",0.0,12.037780582767912,-12.037780582767912,-100.0,27,"AP시스템, HB솔루션, LG, LG디스플레이, PI첨단소재, SK, SKC, 경인양행, 덕산네오룩스, 디이엔티"
통신장비,"LARGE_DECREASE, DISCONNECTION",0.0,23.903314721193016,-23.903314721193016,-100.0,47,"AP위성, CS, LS, LS마린솔루션, RFHIC, RF머트리얼즈, 기가레인, 기산텔레콤, 다보링크, 다산네트웍스"
우주항공산업(누리호/인공위성 등),"LARGE_DECREASE, DISCONNECTION",0.0,15.95162780695567,-15.95162780695567,-100.0,29,"AP위성, LIG넥스원, LK삼양, 대한항공, 덕산하이메탈, 루미르, 브이엠, 비츠로테크, 상아프론테크, 서남"
밸류업(25년 기업가치 제고계획 발표),"LARGE_DECREASE, DISCONNECTION",0.0,47.21690439888692,-47.21690439888692,-100.0,78,"BGF, BGF리테일, DB, DB손해보험, DB하이텍, DI동일, F&F, GS, HMM, HS애드"
코리아 밸류업 지수(Korea Value-up Index),LARGE_DECREASE,5.5234219319387945,65.5944806898266,-60.071058757887805,-91.57944102331243,116,"BGF, BGF리테일, DB, DB손해보험, DB하이텍, F&F, HD현대, HD현대인프라코어, HD현대일렉트릭, HMM"
소매유통,"LARGE_DECREASE, DISCONNECTION",6.401300295375813e-15,12.577666247354315,-12.577666247354308,-99.99999999999994,24,"BGF, BGF리테일, CJ, CJ ENM, GS, GS리테일, 광주신세계, 그래디언트, 대구백화점, 디오"
편의점,LARGE_DECREASE,1.913869802348506,5.000000000000001,-3.086130197651495,-61.72260395302989,7,"BGF, BGF리테일, GS, GS리테일, 롯데지주, 유성티엔에스, 이마트"
자동차부품,LARGE_DECREASE,3.154318858928022,81.02534986386055,-77.87103100493253,-96.10699754554848,155,"BGF, BGF에코머티리얼즈, DH오토리드, DH오토웨어, DN오토모티브, DYP, GH신소재, HDC, HDC현대EP, HL만도"
은행,LARGE_DECREASE,0.981907563026282,6.999999999999999,-6.018092436973717,-85.97274909962454,10,"BNK금융지주, JB금융지주, KB금융, iM금융지주, 기업은행, 신한지주, 우리금융지주, 제주은행, 카카오, 카카오뱅크"
日제품 불매운동(수혜),"LARGE_DECREASE, DISCONNECTION",2.2263365044768003e-15,9.633682572635966,-9.633682572635964,-99.99999999999997,21,"BYC, TBH글로벌, 그리티, 깨끗한나라, 리드코프, 메디앙스, 모나리자, 모나미, 배럴, 보라티알"
패션/의류,"LARGE_DECREASE, DISCONNECTION",0.0,27.765942302616025,-27.765942302616025,-100.0,60,"BYC, F&F, LF, LS, LS네트웍스, SG, SG세계물산, TBH글로벌, TP, 감성코퍼레이션"
