ticker,strategy,score,stage,themes,priority
코오롱생명과학,Early Breakout (Transition),85,Early Breakout,[],HIGH
아주IB투자,Super Trend (Bull Quiet),79,Super Trend,[],HIGH
미래에셋벤처투자,Super Trend (Bull Quiet),78,Super Trend,[],HIGH
스피어,Super Trend (Bull Quiet),78,Super Trend,[],HIGH
코메론,Early Breakout (Transition),78,Early Breakout,['철강 중소형'],HIGH
켄코아에어로스페이스,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
미래에셋증권,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
나노팀,Super Trend (Bull Quiet),77,Super Trend,[],HIGH
쏠리드,Early Breakout (Transition),75,Early Breakout,[],HIGH
에코프로에이치엔,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에쓰씨엔지니어링,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
미래에셋증권우,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이티센글로벌,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이치이엠파마,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이프릴바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에이플러스에셋,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하나머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
바이오스마트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에스제이그룹,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
엘앤씨바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
영우디에스피,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
와이투솔루션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
육일씨엔에쓰,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
인텔리안테크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
지엠비코리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
코오롱티슈진,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하나마이크론,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
나래나노텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
다우데이타,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
동진쎄미켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼표시멘트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
시지메드텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
씨아이에스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
쎄트렉아이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
오킨스전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
제주반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
파이버프로,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
피에스케이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
한양이엔지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
대주산업,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
동아엘텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
디아이티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
라온테크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
리노공업,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
메디아나,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
삼지전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
성호전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에스티팜,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에스피지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
에코프로,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
웨이비스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
유비쿼스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
자화전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
조이시티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
키움증권,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
하림지주,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
화신정공,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
네오셈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
노바텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
더코디,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
루미르,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
메지온,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
베뉴지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
신세계,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
아이텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
엑시콘,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
큐라클,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
프로텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
두올,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
율촌,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
웹스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
태성,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
테스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
HPSP,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
ISC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
RF시스템즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
RF머트리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
RFHIC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
SFA반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
SK스퀘어,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
서부T&D,Super Trend (Bull Quiet),70,Super Trend,[],HIGH
네오리진,Super Trend (Bull Quiet),69,Super Trend,[],HIGH
대성산업,Super Trend (Bull Quiet),69,Super Trend,[],HIGH
넥스틴,Super Trend (Bull Quiet),69,Super Trend,[],HIGH
대덕전자,Super Trend (Bull Quiet),68,Super Trend,[],HIGH
큐리언트,Super Trend (Bull Quiet),68,Super Trend,[],HIGH
디아이,Super Trend (Bull Quiet),68,Super Trend,[],HIGH
신라젠,Super Trend (Bull Quiet),68,Super Trend,[],HIGH
와이씨,Super Trend (Bull Quiet),68,Super Trend,[],HIGH
제우스,Super Trend (Bull Quiet),68,Super Trend,[],HIGH
나우IB,Super Trend (Bull Quiet),68,Super Trend,[],HIGH
AJ네트웍스,Super Trend (Bull Quiet),67,Super Trend,[],HIGH
두산테스나,Super Trend (Bull Quiet),67,Super Trend,[],HIGH
에스티아이,Super Trend (Bull Quiet),67,Super Trend,[],HIGH
클래시스,Super Trend (Bull Quiet),67,Super Trend,[],HIGH
